wire_name,sub_spec_phase_tag,mention_count
PACKAGE_DOWNGRADE_BLOCKED,S11.1,4
PACKAGE_FETCH_STARTED,S11.1,3
PACKAGE_INSTALLED,S11.1,6
PACKAGE_INSTALLED,S11.3,6
PACKAGE_INSTALL_FAILED,S11.1,6
PACKAGE_OBJECT_CREATED,S12.2,5
PACKAGE_OBJECT_QUARANTINED,S12.2,1
PACKAGE_OBJECT_QUARANTINED,S2.4,1
PACKAGE_OBJECT_RETIRED,S12.2,4
PACKAGE_OBJECT_ROLLED_BACK,S12.2,3
PACKAGE_OBJECT_UPDATED,S12.2,2
PACKAGE_OBJECT_VERIFICATION_FAILED,S12.2,7
PACKAGE_PRIVATE_STATE_CORRUPT_DETECTED,S12.2,3
PACKAGE_PRIVATE_STATE_INITIALIZED,S12.2,3
PACKAGE_QUARANTINED,S11.1,4
PACKAGE_RECOVERY_RESTORE_PERFORMED,S12.2,2
PACKAGE_UNINSTALLED,S11.1,2
PACKAGE_VERIFICATION_FAILED,S11.1,6
PACKAGE_VERIFIED,S11.1,1
PACKAGE_VERIFIED,S11.3,1
PACKAGE_VERSION_DOWNGRADE_BLOCKED,S12.2,3
PIPELINE_DEFINITION_REPLACED,S9.3,5
POLICY_BUNDLE_LOAD,S14.1,1
POLICY_BUNDLE_REJECTED,S14.1,5
POLICY_BUNDLE_REJECTED,S9.1,1
POLICY_BUNDLE_REJECTED,S9.2,1
POLICY_DECISION,S0.3,4
POLICY_DECISION,S10.1,1
POLICY_DECISION,S14.2,1
POLICY_DECISION,S15.2,1
POLICY_DECISION,S5.3,1
POLICY_DECISION,S5.4,1
POLICY_DECISION,S6.3,11
POLICY_DECISION,S9.2,1
PROFILE_CONTRIBUTED,S12.4,4
PROFILE_IMPORTED_FROM_UPSTREAM,S12.4,6
PROFILE_OUTLIER_DETECTED,S12.4,6
PROFILE_RATING_AGGREGATED,S12.4,13
PROFILE_RECOMMENDATION_SHOWN,S12.4,4
PROFILE_REPUTATION_FARM_SUSPECTED,S12.4,7
PROFILE_RETIRED,S12.4,3
PROFILE_VISIBILITY_DOWNGRADED,S12.4,5
PUBLIC_EXPOSURE_HEARTBEAT,S8.1,3
PUBLISHER_DEPLATFORMED,S11.1,10
PUBLISHER_DEPLATFORMED,S11.2,4
PUBLISHER_DEPLATFORMED,S12.1,1
PUBLISHER_DEPLATFORMED,S15.1,1
PUBLISHER_DEPLATFORMED,S8.5,1
PUBLISHER_KEY_COLLISION,S11.2,1
PUBLISHER_KEY_ROTATED,S11.1,5
PUBLISHER_ONBOARDING_APPLICATION_SUBMITTED,S11.2,3
PUBLISHER_ONBOARDING_APPROVED,S11.2,3
PUBLISHER_ONBOARDING_DEPLATFORMED,S11.2,2
PUBLISHER_ONBOARDING_IDENTITY_VERIFIED,S11.2,3
PUBLISHER_ONBOARDING_REJECTED,S11.2,5
PUBLISHER_TRUST_LEVEL_OBSERVED,S11.2,1
QUARANTINE_EVENT,S1.3,1
RAW_SOCKET_BYPASS_ATTEMPTED,S8.1,5
RECEIPT_FORGERY_DETECTED,S12.4,1
RECEIPT_FORGERY_DETECTED,S6.3,4
RECEIPT_INTEGRITY_QUARANTINED,S0.4,1
RECEIPT_INTEGRITY_QUARANTINED,S6.3,3
RECEIPT_LINEAGE_CYCLE_DETECTED,S0.4,1
RECEIPT_LINEAGE_CYCLE_DETECTED,S2.4,1
RECEIPT_LINEAGE_CYCLE_DETECTED,S6.3,7
RECEIPT_LINEAGE_DEPTH_EXCEEDED,S6.3,2
RECEIPT_ORPHAN_ACTION_REF_DETECTED,S6.3,2
RECEIPT_PAYLOAD_DUPLICATE_OBSERVED,S6.3,2
RECEIPT_REDACTION_FAILED,S12.4,1
RECEIPT_REDACTION_FAILED,S6.3,8
